rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:28MATCYDctW5EiBa2repxb","Ado","新時代","Universal Music LLC",1,1,16,"2552207"
2,"spotify:track:4IfrM44LofE9bSs6TDZS49","Tani Yuuki","W / X / Y","Valley Records",1,3,40,"1734797"
3,"spotify:track:5YQNjKZofFhlBCIzTVY6rW","Ado","私は最強","Universal Music LLC",2,2,14,"1703201"
4,"spotify:track:2Dzzhb1oV5ckgOjWZLraIB","なとり","Overdose","なとり",4,23,3,"1654433"
5,"spotify:track:4NaaF28BeO9WzjDrSS71Nz","Mrs. GREEN APPLE","ダンスホール","Universal Music LLC",2,4,18,"1636703"
6,"spotify:track:78MS9OT9Flm2V78fhTw4rk","Ado","逆光","Universal Music LLC",2,5,12,"1491427"
7,"spotify:track:3IhHrBYZaxySuRu1zI7Vuk","Ado","ウタカタララバイ","Universal Music LLC",4,6,8,"1395006"
8,"spotify:track:0HYAsQwJIO6FLqpyTeD3l6","Fujii Kaze","死ぬのがいいわ","Universal Music LLC",7,7,6,"1391571"
9,"spotify:track:1Vqs0lXeJafYZz2sxnfB3V","Saucy Dog","シンデレラボーイ","A-Sketch",2,8,51,"1354776"
10,"spotify:track:4JK1kDUdH9RTBQrrSO1QfR","Yuuri","ベテルギウス","Sony Music Labels Inc.",1,11,47,"1178691"
11,"spotify:track:1VHL1PIkhDwWbFc65xHwOr","Novelbright","愛とか恋とか","Universal Music LLC",7,12,24,"1141796"
12,"spotify:track:2uMNMcjjUz8oNIxjIu20qE","SEKAI NO OWARI","Habit","Universal Music LLC",2,9,22,"1139221"
13,"spotify:track:60ReNXcPcsVFd7nUuQw5HZ","Official HIGE DANdism","ミックスナッツ","IRORI Records",1,14,24,"1094938"
14,"spotify:track:5hL1l3xsH0ZyKl8yUI6woj","Ado","Tot Musica","Universal Music LLC",7,10,8,"1089926"
15,"spotify:track:5W7Y92LB4jWvu9NeEQ0GZl","Macaroni Empitsu","なんでもないよ、","Toy's Factory",1,15,47,"1063357"
16,"spotify:track:2JPT05xVbGuIkAc0LNRo3s","Ado","風のゆくえ","Universal Music LLC",10,13,8,"1041359"
17,"spotify:track:2gYj9lubBorOPIVWsTXugG","IVE","After LIKE","Starship Entertainment",12,17,6,"1041288"
18,"spotify:track:5m1i6hq7dmRlp3c1utE48L","back number","水平線","Universal Music LLC",1,20,59,"1036237"
19,"spotify:track:0ir7DGXo3hxaPa82h1vrOj","wacci","恋だろ","Sony Music Labels Inc.",19,19,14,"1034752"
20,"spotify:track:0kqTXMHiQiB7IECD0WwcPq","TWICE","Talk that Talk","WM Japan",13,18,5,"990399"
21,"spotify:track:4kPlQKwtPrnqLgrmmKFSlA","Yuuri","ドライフラワー","Sony Music Labels Inc.",1,25,100,"963511"
22,"spotify:track:2wRKOmpe6I7q6k69bkjuFU","WEDNESDAY CAMPANELLA","エジソン","WM Japan",7,21,16,"961901"
23,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","Universal Music LLC",23,28,2,"954414"
24,"spotify:track:2N4lCwOeFRX7qrbMPRcZ7d","back number","ベルベットの詩","Universal Music LLC",23,24,5,"943207"
25,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","Universal Music LLC",15,16,6,"912403"
26,"spotify:track:17zp5n2rbiRJzQtCaZpXDD","Ado","世界のつづき","Universal Music LLC",12,22,8,"908148"
27,"spotify:track:34PR0zLBVl7VMF9E7dDwdo","King Gnu","雨燦々","Sony Music Labels Inc.",11,26,11,"882110"
28,"spotify:track:19mjCzLuMHZ0Tyn3eI85bo","Yuuri","シャッター","Sony Music Labels Inc.",10,31,64,"852748"
29,"spotify:track:51oc6MEsXTpnPn6GOw5VuP","Fujii Kaze","きらり","Universal Music LLC",4,30,74,"847816"
30,"spotify:track:5rJ7bdPmr8nfmm2JQ8xHOz","NAYEON","POP!","WM Japan",8,27,14,"837118"
31,"spotify:track:5QDLhrAOJJdNAmCTJ8xMyW","BTS","Dynamite","BIGHIT MUSIC",1,29,110,"825100"
32,"spotify:track:0J0P8iSE6l3pYHbUdNFYdS","King Gnu","カメレオン","Sony Music Labels Inc.",1,32,31,"814127"
33,"spotify:track:1sIIlVrnPhrvmTrHtzM7tV","Mrs. GREEN APPLE, Sonoko Inoue","点描の唄","Universal Music LLC",19,37,176,"801091"
34,"spotify:track:6IO5nn84TKArsi3cjpIqaD","Ryokuoushoku Shakai","Mela!","Sony Music Labels Inc.",22,34,127,"789326"
35,"spotify:track:2IL2asrtx7XM1y8fu2RMnR","Da-iCE","CITRUS","avex trax",9,33,92,"783863"
36,"spotify:track:1zd35Y44Blc1CwwVbW3Qnk","YOASOBI","群青","YOASOBI",6,35,109,"773894"
37,"spotify:track:0zfNtgPJ5FLkbveRjSdCMb","Kyanai","バニラ","ENS Entertainment",17,36,24,"753480"
38,"spotify:track:7v8wKvNQQIxkugCFFjrkaO","Aimer","残響散歌","Sony Music Labels Inc.",1,40,43,"741227"
39,"spotify:track:0Q5VnK2DYzRyfqQRJuUtvi","IVE","LOVE DIVE","STARSHIP Entertainment",9,41,26,"731410"
40,"spotify:track:6MCjmGYlw6mQVWRFVgBRvB","YOASOBI","夜に駆ける","YOASOBI",1,38,133,"722656"
41,"spotify:track:3PK5ERLCyMuQ5Cb89GbZVL","Takaya Kawasaki","魔法の絨毯","Warner Music D.N.A.",13,45,106,"709458"
42,"spotify:track:0mBP9X2gPCuapvpZ7TGDk3","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",14,42,14,"704997"
43,"spotify:track:278JqkBGkjDovOYAwE8TW7","Official HIGE DANdism","115万キロのフィルム","LASTRUM",6,44,178,"703230"
44,"spotify:track:6jjYDGxVJsWS0a5wlVF5vS","BTS","Butter","BIGHIT MUSIC",1,43,71,"701197"
45,"spotify:track:6qn31XzTa6YKXs5FZpAPgP","Chippoke Ohashi","常緑","TRIAD/Nippon Columbia Co., Ltd.",20,48,47,"692372"
46,"spotify:track:4Y0chGCyYIRpdUqHJjndF7","TWICE","Celebrate","WM Japan",10,39,11,"685003"
47,"spotify:track:3XYRV7ZSHqIRDG87DKTtry","BTS","Permission to Dance","BIGHIT MUSIC",1,46,64,"677816"
48,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",7,49,64,"675610"
49,"spotify:track:6tkSMR8bEIfEcJn7ybJtSP","HENTAI SHINSHI CLUB","YOKAZE","TOY'S FACTORY",15,47,96,"673762"
50,"spotify:track:1RChlirFdgtS1ZPH45dJX0","Tani Yuuki","もう一度","Valley Records",50,-1,1,"664639"
51,"spotify:track:10zz9RZt9DnqcxNWksRNrx","Vaundy","怪獣の花唄","株式会社SDR",51,51,96,"639526"
52,"spotify:track:1mzn53qwArYj52lIGpXXlD","Vaundy","mabataki","SDR Inc.",52,52,3,"601952"
53,"spotify:track:6ZiEWet0uFRwWBCEKCQ8rY","King Gnu","逆夢","Sony Music Labels Inc.",1,50,40,"600343"
54,"spotify:track:0v3iUTe5rskRsxbUhboRlT","Saucy Dog","いつか","MASH A&R",51,53,128,"573178"
55,"spotify:track:5BC6kr6etk2Y9J62AyI4i3","Mrs. GREEN APPLE","青と夏","Universal Music LLC",6,56,220,"510216"
56,"spotify:track:5Anr2wqdL182BsI02iCbcd","Saucy Dog","結","A-Sketch",53,57,47,"477715"
57,"spotify:track:5PeXak0Ox3JmH2oor0qnGt","Vaundy","恋風邪にのせて","SDR Inc.",14,62,30,"451687"
58,"spotify:track:7LPL74iMxXZ4hEjCwmLMae","Vaundy","napori","株式会社SDR",18,61,97,"429507"
59,"spotify:track:3bbIIVIwBoLqVcLebiEJFo","Creepy Nuts","のびしろ","Sony Music Labels Inc.",53,59,57,"429222"
60,"spotify:track:4n1x8gmuHKOJ1BNFnBsgTh","Saucy Dog","魔法にかけられて","A-Sketch",53,63,27,"409231"
61,"spotify:track:6EuubEs5qOmJdpNhkU47OZ","Lilas Ikuta","スパークル","幾田りら",51,68,36,"408385"
62,"spotify:track:5SuOikwiRyPMVoIQDJUgSV","Gen Hoshino","喜劇","Speedstar",6,54,25,"405572"
63,"spotify:track:3AchaKyy2z6K85YGR729JQ","Ado","リベリオン","Universal Music LLC",63,-1,1,"403164"
64,"spotify:track:6AEEo4hAPdoeoIRS9TSmG5","Yuuri","おにごっこ","Sony Music Labels Inc.",64,78,2,"402515"
