rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4IfrM44LofE9bSs6TDZS49","Tani Yuuki","W / X / Y","Valley Records",1,1,31,"1714178"
2,"spotify:track:2uMNMcjjUz8oNIxjIu20qE","SEKAI NO OWARI","Habit","Universal Music LLC",2,3,13,"1491755"
3,"spotify:track:60ReNXcPcsVFd7nUuQw5HZ","Official HIGE DANdism","ミックスナッツ","IRORI Records",1,2,15,"1465132"
4,"spotify:track:4NaaF28BeO9WzjDrSS71Nz","Mrs. GREEN APPLE","ダンスホール","Universal Music LLC",4,5,9,"1399997"
5,"spotify:track:1Vqs0lXeJafYZz2sxnfB3V","Saucy Dog","シンデレラボーイ","A-Sketch",2,4,42,"1395258"
6,"spotify:track:4JK1kDUdH9RTBQrrSO1QfR","Yuuri","ベテルギウス","Sony Music Labels Inc.",1,6,38,"1245173"
7,"spotify:track:2wRKOmpe6I7q6k69bkjuFU","WEDNESDAY CAMPANELLA","エジソン","WM Japan",7,7,7,"1203903"
8,"spotify:track:5rJ7bdPmr8nfmm2JQ8xHOz","NAYEON","POP!","WM Japan",8,9,5,"1175244"
9,"spotify:track:5W7Y92LB4jWvu9NeEQ0GZl","Macaroni Empitsu","なんでもないよ、","Toy's Factory",1,8,38,"1115756"
10,"spotify:track:2l2yRJWgMiJkfPbRNiuC25","Ado","新時代 - ウタ from ONE PIECE FILM RED","Universal Music LLC",10,14,7,"1098738"
11,"spotify:track:1VHL1PIkhDwWbFc65xHwOr","Novelbright","愛とか恋とか","Universal Music LLC",7,10,15,"1074798"
12,"spotify:track:4OelNEcxPGoCOU29fchcsv","XG","MASCARA","XGALX",12,15,4,"1022660"
13,"spotify:track:34PR0zLBVl7VMF9E7dDwdo","King Gnu","雨燦々","Sony Music Labels Inc.",13,13,2,"1017069"
14,"spotify:track:5m1i6hq7dmRlp3c1utE48L","back number","水平線","Universal Music LLC",1,11,50,"1003934"
15,"spotify:track:4kPlQKwtPrnqLgrmmKFSlA","Yuuri","ドライフラワー","Sony Music Labels Inc.",1,12,91,"997171"
16,"spotify:track:4Y0chGCyYIRpdUqHJjndF7","TWICE","Celebrate","WM Japan",16,55,2,"937182"
17,"spotify:track:5QDLhrAOJJdNAmCTJ8xMyW","BTS","Dynamite","BIGHIT MUSIC",1,16,101,"931672"
18,"spotify:track:19mjCzLuMHZ0Tyn3eI85bo","Yuuri","シャッター","Sony Music Labels Inc.",10,19,55,"897757"
19,"spotify:track:0J0P8iSE6l3pYHbUdNFYdS","King Gnu","カメレオン","Sony Music Labels Inc.",1,17,22,"883795"
20,"spotify:track:2IL2asrtx7XM1y8fu2RMnR","Da-iCE","CITRUS","avex trax",9,20,83,"880779"
21,"spotify:track:51oc6MEsXTpnPn6GOw5VuP","Fujii Kaze","きらり","Universal Music LLC",4,21,65,"880120"
22,"spotify:track:2mRMcwDCNyYvBXaoUxmsmE","Saucy Dog","優しさに溢れた世界で","A-Sketch",8,18,8,"875485"
23,"spotify:track:1zd35Y44Blc1CwwVbW3Qnk","YOASOBI","群青","YOASOBI",6,23,100,"822604"
24,"spotify:track:0zfNtgPJ5FLkbveRjSdCMb","Kyanai","バニラ","ENS Entertainment",17,22,15,"806500"
25,"spotify:track:7v8wKvNQQIxkugCFFjrkaO","Aimer","残響散歌","Sony Music Labels Inc.",1,24,34,"802223"
26,"spotify:track:6jjYDGxVJsWS0a5wlVF5vS","BTS","Butter","BIGHIT MUSIC",1,25,62,"795353"
27,"spotify:track:0mBP9X2gPCuapvpZ7TGDk3","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",14,28,5,"785536"
28,"spotify:track:6IO5nn84TKArsi3cjpIqaD","Ryokuoushoku Shakai","Mela!","Sony Music Labels Inc.",22,26,118,"783966"
29,"spotify:track:0l2wnmSJ8rW5dvS2eW3xNp","Mrs. GREEN APPLE, Sonoko Inoue","点描の唄","Universal Music LLC",19,29,167,"769326"
30,"spotify:track:3Itdlob7CzXIQqydeVwutQ","BE:FIRST","Bye-Good-Bye","B-ME",8,27,21,"766250"
31,"spotify:track:6MCjmGYlw6mQVWRFVgBRvB","YOASOBI","夜に駆ける","YOASOBI",1,33,124,"764731"
32,"spotify:track:3XYRV7ZSHqIRDG87DKTtry","BTS","Permission to Dance","BIGHIT MUSIC",1,38,55,"756419"
33,"spotify:track:0XZyF9lv6diMt4bxThOL0h","Awesome City Club","勿忘","cutting edge",4,35,78,"750231"
34,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",7,43,55,"749885"
35,"spotify:track:6qn31XzTa6YKXs5FZpAPgP","Chippoke Ohashi","常緑","TRIAD/Nippon Columbia Co., Ltd.",20,31,38,"748228"
36,"spotify:track:296nXCOv97WJNRWzIBQnoj","LE SSERAFIM","FEARLESS","SOURCE MUSIC",17,40,13,"743061"
37,"spotify:track:6tkSMR8bEIfEcJn7ybJtSP","HENTAI SHINSHI CLUB","YOKAZE","TOY'S FACTORY",15,41,87,"742360"
38,"spotify:track:6ZiEWet0uFRwWBCEKCQ8rY","King Gnu","逆夢","Sony Music Labels Inc.",1,34,31,"740268"
39,"spotify:track:3PK5ERLCyMuQ5Cb89GbZVL","Takaya Kawasaki","魔法の絨毯","Warner Music D.N.A.",13,37,97,"738884"
40,"spotify:track:0Q5VnK2DYzRyfqQRJuUtvi","IVE","LOVE DIVE","STARSHIP Entertainment",9,42,17,"736154"
41,"spotify:track:10SRMwb9EuVS1K9rYsBfHQ","BTS","Yet To Come","BIGHIT MUSIC",2,30,7,"726596"
42,"spotify:track:7ncPjJBktLEOpstY5JOUMK","King Gnu","一途","Sony Music Labels Inc.",1,39,33,"707580"
43,"spotify:track:5PeXak0Ox3JmH2oor0qnGt","Vaundy","恋風邪にのせて","SDR Inc.",14,36,21,"705903"
44,"spotify:track:5SuOikwiRyPMVoIQDJUgSV","Gen Hoshino","喜劇","Speedstar",6,32,16,"699856"
45,"spotify:track:278JqkBGkjDovOYAwE8TW7","Official HIGE DANdism","115万キロのフィルム","LASTRUM",6,44,169,"689989"
46,"spotify:track:6wDntdm888mDo458RaYjGl","Official HIGE DANdism","Cry Baby","IRORI Records",4,45,64,"676855"
47,"spotify:track:6uhIF5J5Txaie0is2nXdxU","YOASOBI","怪物","YOASOBI",4,49,81,"666528"
48,"spotify:track:6cvKfEw8rDcmXBslqSEC9G","Aimyon","ハート","WM Japan",10,47,40,"665997"
49,"spotify:track:0UBUg8NU4XJtQqzTPs8Pkr","YOASOBI","三原色","YOASOBI",5,48,56,"664830"
50,"spotify:track:15HNdxGKNCIO9pgaY4n7FU","Official HIGE DANdism","Pretender","ポニーキャニオン",1,50,171,"661049"
51,"spotify:track:0ir7DGXo3hxaPa82h1vrOj","wacci","恋だろ","Sony Music Labels Inc.",51,52,5,"575120"
52,"spotify:track:0v3iUTe5rskRsxbUhboRlT","Saucy Dog","いつか","MASH A&R",51,51,119,"560285"
53,"spotify:track:10zz9RZt9DnqcxNWksRNrx","Vaundy","怪獣の花唄","株式会社SDR",51,53,87,"550800"
54,"spotify:track:5BC6kr6etk2Y9J62AyI4i3","Mrs. GREEN APPLE","青と夏","Universal Music LLC",6,56,211,"519089"
55,"spotify:track:6uSe3ACORUIVrAyiP84RZi","satomoka","melt bitter","ANTHOLOGY",54,54,10,"498757"
56,"spotify:track:5Anr2wqdL182BsI02iCbcd","Saucy Dog","結","A-Sketch",56,57,38,"480917"
57,"spotify:track:3sFdaHo9D3hfiFt2wVi6a5","Kenshi Yonezu","M八七","Sony Music Labels Inc.",5,46,11,"479917"
58,"spotify:track:1ihCiJaXRl4f6Sy4LJov5z","SPITZ","チェリー","Universal Music LLC",28,58,189,"466164"
59,"spotify:track:4n1x8gmuHKOJ1BNFnBsgTh","Saucy Dog","魔法にかけられて","A-Sketch",53,59,18,"459314"
60,"spotify:track:2YaWdN5tieE4Ntorawbbvq","Gen Hoshino","異世界混合大舞踏会 (feat. おばけ)","Speedstar",60,136,2,"451304"
61,"spotify:track:6EuubEs5qOmJdpNhkU47OZ","Lilas Ikuta","スパークル","幾田りら",51,64,27,"426733"
62,"spotify:track:3bbIIVIwBoLqVcLebiEJFo","Creepy Nuts","のびしろ","Sony Music Labels Inc.",53,63,48,"424396"
63,"spotify:track:4xk70Qur2QeRmWIzWPC63V","Vaundy","踊り子","SDR Inc.",10,65,36,"393470"
64,"spotify:track:4q64nWPqTWIVHGHidRaSUm","クボタカイ","ピアス","WM Japan",64,67,3,"393081"
65,"spotify:track:3ZEdrRIGjFpXZSzfjwWmDQ","ZOT on the WAVE, Fuji Taito","Crayon","ZOT on the WAVE & Fuji Taito",56,61,14,"382075"
66,"spotify:track:7DyS11kB1YNrfDzQqtjmTh","HIRAIDAI","Stand by me, Stand by you.","avex trax",4,68,98,"378781"
67,"spotify:track:67O5aJpFGwY3fWTZR7dYF4","HIRAIDAI","栄光の扉","avex trax",67,-1,1,"375151"
68,"spotify:track:0C7VgMgDuyOEku3sslCbyC","Yuuri","タイムマシン","Sony Music Labels Inc.",68,95,2,"369183"
69,"spotify:track:6sElEqOIGENWjpxGFeo5ct","Novelbright","ツキミソウ","Universal Music LLC",51,70,85,"364596"
70,"spotify:track:1qE8DOtw7zdXHMgZm20eLM","TWICE","The Feels","WM Japan",10,84,43,"362099"
71,"spotify:track:4jVHvArqYm2nDCUNq2OOAK","Vaundy","走馬灯","SDR Inc.",69,69,3,"361424"
72,"spotify:track:6sIx7Cn37DGEhjy9hBP8Gx","DISH//","猫","Sony Music Labels Inc.",18,73,118,"359754"
73,"spotify:track:2PlbwoIVr25oita35jg9ht","Vaundy","花占い","株式会社SDR",18,79,56,"357890"
74,"spotify:track:2SihT7AVMiI2VtaAyVIcnO","Macaroni Empitsu","恋人ごっこ","TALTO",36,76,114,"357580"
75,"spotify:track:3eg3igrhEhzk8bqqRz6XCt","Yuuri","レオ","Sony Music Labels Inc.",52,75,28,"354889"
76,"spotify:track:3ibqi5ANZtNI7QXOgUnFsL","Uru","それを愛と呼ぶなら","Sony Music Labels Inc.",51,66,13,"350987"
77,"spotify:track:5GXYKnnzBlHvrzBQ5WoxME","Ado","逆光 - ウタ from ONE PIECE FILM RED","Universal Music LLC",57,62,3,"350431"
78,"spotify:track:1ndUYRPchJVNQCM7XwN7Hq","Creepy Nuts","堕天","Sony Music Labels Inc.",71,71,3,"349205"
79,"spotify:track:515q6vR077kY4BQv8F3pGj","Tani Yuuki","愛言葉","Valley Records",75,88,17,"348884"
80,"spotify:track:0FOVGBW0RpVRuDuUuN4ZVw","MAISONdes, 和ぬか, asmi","ヨワネハキ","Sony Music Labels Inc.",10,80,52,"348226"
81,"spotify:track:6P2IZsIyNVeOl712sFg4lc","Kep1er","Up!","WAKEONE, Swing Entertainment",65,72,6,"348128"
82,"spotify:track:7LPL74iMxXZ4hEjCwmLMae","Vaundy","napori","株式会社SDR",18,77,88,"343811"
83,"spotify:track:22x5EpcJkfE3SHBONJG6FS","CHEHON","韻波句徒","Sony Music Labels Inc.",81,81,9,"343522"
84,"spotify:track:48lsRmp9AC6tU4rP9QJx4H","有華","Partner","flowernote",66,85,10,"343244"
85,"spotify:track:2UdvMWk0Z83lMJPbawy2Sm","Macaroni Empitsu","ブルーベリー・ナイツ","TALTO",71,82,115,"342312"
86,"spotify:track:0DPNaz9xQ0AKUsCOvfakqy","Saucy Dog","あぁ、もう。","A-Sketch",71,83,32,"342098"
87,"spotify:track:55emtNBnUXszixuQj4Fg6I","Creepy Nuts, Ayase, Lilas Ikuta","ばかまじめ","Sony Music Labels Inc.",56,87,19,"339581"
88,"spotify:track:2b9qZ9JVxMD8DJJeSa35Gm","NiziU","CLAP CLAP","Sony Music Labels Inc.",78,78,2,"338907"
89,"spotify:track:3Ztjw8utVpcrzms1RrsJvR","Sukima Switch","全力少年","Universal Music LLC",70,94,138,"336221"
90,"spotify:track:5hzOyvCqy8sb39xGXUEdpb","SG","僕らまた","SuperGenius Entertainment",69,91,36,"336127"
91,"spotify:track:79TdseXlAiANFOTstIwejv","DISH//","沈丁花","Sony Music Labels Inc.",52,96,39,"332891"
92,"spotify:track:1B04DTxiZUA5QW9Zxe1IEJ","ONE OK ROCK","Save Yourself","WM Japan",41,60,5,"331601"
93,"spotify:track:2jUMhjwi5VZ6GqKGZlVg6F","BE:FIRST","Scream","B-ME",93,-1,1,"328461"
94,"spotify:track:4OL2UHjasZp21Z1c2htqPj","YOAKE","ねぇ","YOAKE project",69,93,9,"327944"
95,"spotify:track:2WTHLEVjfefbGoW7F3dXIg","aespa","Girls","Warner Records",70,74,3,"327488"
96,"spotify:track:0871AdnvzzSGr5XdTJaDHC","Ado","踊","Universal Music LLC",10,98,66,"321354"
97,"spotify:track:5wWLNNwMAehpj83FU4Lz0m","Official HIGE DANdism","I LOVE...","IRORI Records",1,89,133,"321255"
98,"spotify:track:2cKiHG16JBiqHdi7Llq0r7","Aimyon","マリーゴールド","WM Japan",1,99,210,"320303"
99,"spotify:track:172fMG26G2OoEzzg0wn26r","King Gnu","白日","Sony Music Labels Inc.",2,90,179,"317549"
100,"spotify:track:0hQNbQKW2dDATH1ngj4TI6","Kep1er","WA DA DA","WAKEONE, Swing Entertainment",13,92,30,"316461"
101,"spotify:track:57MvUwzIzRJ0r21rnNU1s1","Vaundy","不可幸力","株式会社SDR",20,103,108,"312644"
102,"spotify:track:7n2FZQsaLb7ZRfRPfEeIvr","IVE","ELEVEN","STARSHIP Entertainment",27,101,34,"303783"
103,"spotify:track:3l2O4IuJ4DFEfUwDdWyPnf","milet","Walkin' In My Lane","Sony Music Labels Inc.",62,97,12,"303252"
104,"spotify:track:5hVAQTNarrb3lmWqg9Ens4","Lilas Ikuta","Answer","幾田りら",74,100,67,"301174"
105,"spotify:track:7ylpphbW8jf5bh7NKJnO8s","Lilas Ikuta","レンズ","幾田りら",61,86,6,"292448"
106,"spotify:track:2vOAHp8PBBFYqvQUWSoITY","Mrs. GREEN APPLE","インフェルノ","Universal Music LLC",16,104,158,"290999"
107,"spotify:track:1nX1b7kRg5a6XKAq7uQOpr","ITZY","SNEAKERS","WM Japan",107,117,2,"290981"
108,"spotify:track:7537JfhvVpEqkrY2CIY7zu","YOASOBI","好きだ","YOASOBI",57,102,9,"288952"
