rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3khEEPRyBeOUabbmOPJzAG","Kenshi Yonezu","KICK BACK","Sony Music Labels Inc.",1,1,3,"3091742"
2,"spotify:track:49F3htNmwzPKFycPdOrDvf","Official HIGE DANdism","Subtitle","IRORI Records",2,2,3,"2783451"
3,"spotify:track:2Dzzhb1oV5ckgOjWZLraIB","なとり","Overdose","なとり",2,4,7,"1978395"
4,"spotify:track:28MATCYDctW5EiBa2repxb","Ado","新時代","Universal Music LLC",1,3,20,"1910834"
5,"spotify:track:4IfrM44LofE9bSs6TDZS49","Tani Yuuki","W / X / Y","Valley Records",1,6,44,"1721368"
6,"spotify:track:4NaaF28BeO9WzjDrSS71Nz","Mrs. GREEN APPLE","ダンスホール","Universal Music LLC",2,5,22,"1576118"
7,"spotify:track:5YQNjKZofFhlBCIzTVY6rW","Ado","私は最強","Universal Music LLC",2,7,18,"1476377"
8,"spotify:track:3lUOzabhWYyRImRszpJGOU","Vaundy","CHAINSAW BLOOD","Sony Music Labels Inc.",8,8,3,"1436793"
9,"spotify:track:1Vqs0lXeJafYZz2sxnfB3V","Saucy Dog","シンデレラボーイ","A-Sketch",2,10,55,"1352335"
10,"spotify:track:7ajpbW6tBpqUI9foCtwlLw","YOASOBI","祝福","YOASOBI",9,9,4,"1286093"
11,"spotify:track:1RChlirFdgtS1ZPH45dJX0","Tani Yuuki","もう一度","Valley Records",11,13,5,"1285165"
12,"spotify:track:7qOsSOpiL3R8RKyiBtIYNQ","BUMP OF CHICKEN","SOUVENIR","Toy's Factory",11,11,4,"1243460"
13,"spotify:track:0HYAsQwJIO6FLqpyTeD3l6","Fujii Kaze","死ぬのがいいわ","Universal Music LLC",7,12,10,"1196580"
14,"spotify:track:1VHL1PIkhDwWbFc65xHwOr","Novelbright","愛とか恋とか","Universal Music LLC",7,17,28,"1192094"
15,"spotify:track:1XeOqgzh2fZhmgxnmyiIJ8","ZUTOMAYO","残機","Universal Music LLC",15,114,2,"1174072"
16,"spotify:track:4JK1kDUdH9RTBQrrSO1QfR","Yuuri","ベテルギウス","Sony Music Labels Inc.",1,18,51,"1153833"
17,"spotify:track:60ReNXcPcsVFd7nUuQw5HZ","Official HIGE DANdism","ミックスナッツ","IRORI Records",1,20,28,"1128080"
18,"spotify:track:7tnYsRepXLaNhqj4xtcWP2","Fujii Kaze","grace","Universal Music LLC",14,14,3,"1107387"
19,"spotify:track:78MS9OT9Flm2V78fhTw4rk","Ado","逆光","Universal Music LLC",2,15,16,"1104170"
